連番	セクション	原票No./ID	区分	設計対象	設計項目	設定値／内容	設計目的・根拠	配置／適用対象	Terraform管理単位	Terraform Resource／方式	テスト／確認方法	確認状況	備考	詳細内容
113	12_TerraformBackend	5			Versioning	Enabled	State復旧			aws_s3_bucket_versioning		確定		セキュリティ制御：MFA Delete/Object Lockは要件検討
114	12_TerraformBackend	6			暗号化	SSE-KMS	State内の機微情報保護			aws_s3_bucket_server_side_encryption_configuration		確定		セキュリティ制御：専用KMS Key
115	12_TerraformBackend	7			KMS Rotation	Enabled	鍵管理標準			aws_kms_key.enable_key_rotation		確定		セキュリティ制御：Key Admin/利用者分離
116	12_TerraformBackend	8			Public Access	全Block=true	外部公開防止			aws_s3_bucket_public_access_block		確定		セキュリティ制御：Bucket PolicyでもDeny
117	12_TerraformBackend	9			State Access	CI Roleは対象PrefixのみRead/Write	横断的State閲覧を防止			aws_iam_policy		検討中		セキュリティ制御：IAM PolicyをRoot Module単位化
118	12_TerraformBackend	10			認証情報	SSO/OIDC/AssumeRole	長期Key排除			AWS_PROFILE/環境変数		確定		セキュリティ制御：Secretをbackend設定へ直書きしない
119	12_TerraformBackend	11			Plan保管	CI Artifactとして承認期間中保管	承認内容とapply内容を一致			terraform plan -out		検討中		セキュリティ制御：アクセス・保存期間を制限
120	12_TerraformBackend	12			State復旧	S3 Versionから復元するRunbook	破損・誤更新への備え			運用手順		検討中		セキュリティ制御：復旧操作を承認制
121	13_Terraform実行設計	1		State S3/KMS					ローカルState→構築後固定			確定	Remote backend自身とは別State	実行Account：Management/State Account / Provider Alias／Role：実行者直接またはBootstrap Role / 主な管理Resource：S3/KMS/IAM / 入力値の受渡し：手動tfvars / 実行契機：初回のみ / 承認：2名承認 / 依存Module：なし / Owner：Platform Team
122	13_Terraform実行設計	2		Organization/OU/Account/SCP					organizations/terraform.tfstate			確定		実行Account：Management / Provider Alias／Role：default provider / 主な管理Resource：aws_organizations_* / 入力値の受渡し：tfvars/locals / 実行契機：組織変更 / 承認：2名承認 / 依存Module：00-bootstrap / Owner：Platform Team
123	13_Terraform実行設計	3		Trusted Access/Delegated Admin					org-services/terraform.tfstate			検討中		実行Account：Management + 委任Account / Provider Alias／Role：provider aliases + AssumeRole / 主な管理Resource：delegated admin/サービス組織設定 / 入力値の受渡し：10-organization outputを変数化 / 実行契機：サービス追加・変更 / 承認：Security/Platform承認 / 依存Module：10-organization / Owner：Platform/Security
124	13_Terraform実行設計	4		全メンバーAccount共通設定					account-baseline/<account-id>.tfstate またはStackSets			検討中	大量AccountはMatrix/StackSets	実行Account：Shared Services / Provider Alias／Role：TerraformExecutionRole / 主な管理Resource：IAM/Config/EventBridge/Budget / 入力値の受渡し：Account ID/OU ID / 実行契機：Account作成・baseline変更 / 承認：Platform承認 / 依存Module：10/20 / Owner：Platform Team
125	13_Terraform実行設計	5		Network Account					network/terraform.tfstate			検討中		実行Account：Network / Provider Alias／Role：aws.network / 主な管理Resource：TGW/RAM/DNS/Firewall / 入力値の受渡し：Account ID/OU ID/CIDR / 実行契機：ネットワーク変更 / 承認：Network承認 / 依存Module：30-baseline / Owner：Network Team
126	13_Terraform実行設計	6		各業務Account					workloads/<system>/<env>/terraform.tfstate			検討中		実行Account：各Workload / Provider Alias／Role：aws.workload / 主な管理Resource：VPC/ECS/RDS等 / 入力値の受渡し：共有Network出力を変数化 / 実行契機：アプリ基盤変更 / 承認：App+Platform承認 / 依存Module：30/40 / Owner：App Team
127	14_StackSets	1		org-account-baseline				Prod/NonProd/Sandbox OU		aws_cloudformation_stack_set + aws_cloudformation_stack_instances		検討中	新規Account自動展開	管理Account：shared-services / Permission Model：SERVICE_MANAGED / call_as：DELEGATED_ADMIN / 対象Region：ap-northeast-1, ap-northeast-3 / Auto Deployment：enabled / Removal時の扱い：retain_stacks_on_account_removal=false / Capabilities：CAPABILITY_NAMED_IAM / Failure Tolerance：0 / Concurrency：2または小割合 / Template Path：templates/account-baseline.yaml
128	14_StackSets	2		org-config-baseline				対象全OU		aws_cloudformation_stack_set + instances		検討中		管理Account：shared-services / Permission Model：SERVICE_MANAGED / call_as：DELEGATED_ADMIN / 対象Region：利用全Region / Auto Deployment：enabled / Removal時の扱い：要件に応じてretain / Capabilities：CAPABILITY_NAMED_IAM / Failure Tolerance：0 / Concurrency：段階展開 / Template Path：templates/config-baseline.yaml
129	14_StackSets	3		org-monitoring-baseline				対象全OU		aws_cloudformation_stack_set + instances		検討中		管理Account：shared-services / Permission Model：SERVICE_MANAGED / call_as：DELEGATED_ADMIN / 対象Region：ap-northeast-1 / Auto Deployment：enabled / Removal時の扱い：retain=false / Capabilities：CAPABILITY_NAMED_IAM / Failure Tolerance：0 / Concurrency：段階展開 / Template Path：templates/monitoring-baseline.yaml
130	15_ライフサイクル	1	申請		Account利用申請						必須項目・承認完了	検討中		入力／条件：システム、環境、Owner、CostCenter、データ区分 / 担当：申請者/Platform / Terraform／Tool：申請票 / ロールバック／例外処理：差戻し
131	15_ライフサイクル	2	承認		セキュリティ・費用承認						承認記録あり	検討中		入力／条件：申請票 / 担当：Security/Finance/Platform / Terraform／Tool：チケット / ロールバック／例外処理：申請取消
132	15_ライフサイクル	3	作成		Organizations Account作成						Account ID取得	検討中		入力／条件：一意なRoot Email / 担当：Platform / Terraform／Tool：10-organization / ロールバック／例外処理：作成失敗を再試行
133	15_ライフサイクル	4	隔離		Quarantine OUへ配置						未初期化操作不可	確定		入力／条件：Account作成完了 / 担当：Platform / Terraform／Tool：10-organization / ロールバック／例外処理：管理Roleで復旧
134	15_ライフサイクル	5	Bootstrap		TerraformExecutionRole作成						AssumeRole成功	検討中		入力／条件：OrganizationAccountAccessRole利用 / 担当：Platform / Terraform／Tool：手動/Bootstrap Stack / ロールバック／例外処理：Bootstrap Roleで再実行
135	15_ライフサイクル	6	Baseline		共通リソース配備						全Stack成功	検討中		入力／条件：実行Role利用可能 / 担当：Platform / Terraform／Tool：30-baseline/StackSets / ロールバック／例外処理：失敗Stack修復
136	15_ライフサイクル	7	安全連携		Securityサービス加入						管理AccountでMember確認	検討中		入力／条件：Baseline完了 / 担当：Security / Terraform／Tool：20-org-services / ロールバック／例外処理：再登録
137	15_ライフサイクル	8	アクセス		Identity Center割当						対象Userがログイン可能	検討中		入力／条件：Owner/Group確定 / 担当：Platform/Security / Terraform／Tool：Identity Center IaC/運用 / ロールバック／例外処理：割当取消
138	15_ライフサイクル	9	費用		Budget・タグ設定						通知テスト完了	検討中		入力／条件：CostCenter/予算額 / 担当：Finance/Platform / Terraform／Tool：Terraform / ロールバック／例外処理：閾値再設定
139	15_ライフサイクル	10	受入		受入テスト						全必須試験Pass	検討中		入力／条件：全Baseline完了 / 担当：Platform/Security/App / Terraform／Tool：18_テスト / ロールバック／例外処理：不備修正
140	15_ライフサイクル	11	本配置		目的OUへ移動						有効SCPが設計通り	検討中		入力／条件：受入完了 / 担当：Platform / Terraform／Tool：10-organization / ロールバック／例外処理：Quarantineへ戻す
141	15_ライフサイクル	12	停止		Suspended OUへ移動						操作不可・ログ保持	検討中		入力／条件：停止承認 / 担当：Platform / Terraform／Tool：10-organization / ロールバック／例外処理：承認後復旧
142	15_ライフサイクル	13	閉鎖		Account閉鎖						閉鎖記録・保管完了	検討中	Terraform destroyで安易に実施しない	入力／条件：法務/費用/データ保管確認 / 担当：Platform/Finance/Security / Terraform／Tool：運用手順 / ロールバック／例外処理：期間内復旧手順
143	16_監視運用	1		CreateAccount								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge Organizations API Event / Severity：Medium / 通知先：Platform SNS/チケット / 一次対応者：Platform Team / 目標対応時間：営業時間内 / 自動処置：なし / Runbook：RB-ORG-001
144	16_監視運用	2		CloseAccount								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Platform/Security/Finance / 一次対応者：Platform Team / 目標対応時間：即時 / 自動処置：なし / Runbook：RB-ORG-002
145	16_監視運用	3		MoveAccount								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：High / 通知先：Platform/Security / 一次対応者：Platform Team / 目標対応時間：15分以内 / 自動処置：要件に応じQuarantineへ戻す / Runbook：RB-ORG-003
146	16_監視運用	4		AttachPolicy/DetachPolicy								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Platform/Security / 一次対応者：Security Team / 目標対応時間：即時 / 自動処置：承認外変更の復旧を検討 / Runbook：RB-ORG-004
147	16_監視運用	5		UpdatePolicy								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Platform/Security / 一次対応者：Security Team / 目標対応時間：即時 / 自動処置：Git定義との差分検知 / Runbook：RB-ORG-005
148	16_監視運用	6		Enable/DisableAWSServiceAccess								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：High / 通知先：Platform/Security / 一次対応者：Platform Team / 目標対応時間：15分以内 / 自動処置：なし / Runbook：RB-ORG-006
149	16_監視運用	7		Register/DeregisterDelegatedAdministrator								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Platform/Security / 一次対応者：Platform Team / 目標対応時間：即時 / 自動処置：なし / Runbook：RB-ORG-007
150	16_監視運用	8		Root Login								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Security/CSIRT / 一次対応者：Security Team / 目標対応時間：即時 / 自動処置：Session確認・Credentialローテーション / Runbook：RB-IAM-001
151	16_監視運用	9		CloudTrail Stop/Delete								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Security/CSIRT / 一次対応者：Security Team / 目標対応時間：即時 / 自動処置：SCPで原則拒否 / Runbook：RB-LOG-001
152	16_監視運用	10		Config Recorder Stop								検討中		イベントソース：CloudTrail/Config / 検知方式／Rule：EventBridge / Severity：High / 通知先：Security / 一次対応者：Security Team / 目標対応時間：15分以内 / 自動処置：再有効化を検討 / Runbook：RB-CFG-001
153	16_監視運用	11		Security Service Disable								検討中		イベントソース：CloudTrail / 検知方式／Rule：EventBridge / Severity：Critical / 通知先：Security/CSIRT / 一次対応者：Security Team / 目標対応時間：即時 / 自動処置：SCP/自動復旧を検討 / Runbook：RB-SEC-001
154	16_監視運用	12		Terraform State Lock異常								検討中		イベントソース：CI/Terraform / 検知方式／Rule：Pipeline Failure / Severity：High / 通知先：Platform / 一次対応者：Platform Team / 目標対応時間：30分以内 / 自動処置：自動force-unlockは禁止 / Runbook：RB-TF-001
155	17_構築手順	1	Bootstrap		State用S3/KMS作成	Bucket/Key作成					Bucket/Key作成	未着手		Root Module／手段：00-bootstrap / 前提条件：管理Accountへの管理権限 / 実行Account：Management/State / コマンド／操作：terraform init/plan/apply / ロールバック：ローカルStateから復旧
156	17_構築手順	2	Backend		Remote backend設定	Remote State利用開始					Remote State利用開始	未着手		Root Module／手段：各Root Module / 前提条件：Step1完了 / 実行Account：各実行Account / コマンド／操作：terraform init -migrate-state / ロールバック：Versionから復旧
157	17_構築手順	3	Organizations		OrganizationをImport/作成しAll Features確認	Organization ID取得					Organization ID取得	未着手		Root Module／手段：10-organization / 前提条件：Management権限 / 実行Account：Management / コマンド／操作：terraform plan/apply / ロールバック：State修正/import
158	17_構築手順	4	OU		OU階層作成	OU ID取得					OU ID取得	未着手		Root Module／手段：10-organization / 前提条件：Step3完了 / 実行Account：Management / コマンド／操作：terraform apply / ロールバック：対象OUのみ削除/修正
159	17_構築手順	5	Account		基盤Account作成	Account ID取得					Account ID取得	未着手		Root Module／手段：10-organization / 前提条件：Root Email確定 / 実行Account：Management / コマンド／操作：terraform apply / ロールバック：作成処理再確認
160	17_構築手順	6	Identity		Identity Center初期設定	管理者ログイン可能					管理者ログイン可能	未着手		Root Module／手段：運用/IaC / 前提条件：管理者確定 / 実行Account：Management / コマンド／操作：Console/IaC / ロールバック：割当取消
161	17_構築手順	7	Root保護		Root MFA・集中管理・緊急経路整備	Root常用不可					Root常用不可	未着手		Root Module／手段：運用/IaC / 前提条件：連絡先確定 / 実行Account：各Account / コマンド／操作：Console/API / ロールバック：BreakGlass手順
162	17_構築手順	8	Trusted Access		必要サービス連携を有効化	Service Access有効					Service Access有効	未着手		Root Module／手段：20-org-services / 前提条件：Step3-5完了 / 実行Account：Management / コマンド／操作：terraform apply/サービスAPI / ロールバック：無効化影響確認後戻す
163	17_構築手順	9	Delegated Admin		委任管理Account登録	委任Account表示					委任Account表示	未着手		Root Module／手段：20-org-services / 前提条件：Trusted Access有効 / 実行Account：Management / コマンド／操作：terraform apply / ロールバック：deregister
164	17_構築手順	10	Logging		S3/KMS/Organization Trail作成	全Accountログ集約					全Accountログ集約	未着手		Root Module／手段：20-org-services/Log Archive / 前提条件：Log Archive利用可能 / 実行Account：Management/Log Archive / コマンド／操作：terraform apply / ロールバック：Trail停止せず設定修正
165	17_構築手順	11	Config		Recorder/Aggregator/Rules展開	全Account記録・集約					全Account記録・集約	未着手		Root Module／手段：StackSets/20-org-services / 前提条件：StackSets準備 / 実行Account：Shared/Security / コマンド／操作：terraform apply / ロールバック：StackSet修復
166	17_構築手順	12	Security		Security Hub/GuardDuty/Inspector有効化	全Account Member化					全Account Member化	未着手		Root Module／手段：20-org-services / 前提条件：委任管理完了 / 実行Account：Security Tooling / コマンド／操作：terraform apply / ロールバック：Member再登録
167	17_構築手順	13	Baseline		IAM/監視/Budget等配備	全Stack成功					全Stack成功	未着手		Root Module／手段：30-account-baseline / 前提条件：実行Role準備 / 実行Account：各Account / コマンド／操作：CI Matrix/StackSets / ロールバック：失敗Resource修復
168	17_構築手順	14	SCP Test		Test AccountへSCP適用	想定拒否のみ発生					想定拒否のみ発生	未着手		Root Module／手段：10-organization / 前提条件：BreakGlass確認 / 実行Account：Management / コマンド／操作：terraform apply / ロールバック：Policy detach
169	17_構築手順	15	SCP展開		Sandbox→NonProd→Prodへ段階適用	業務影響なし					業務影響なし	未着手		Root Module／手段：10-organization / 前提条件：Step14 Pass / 実行Account：Management / コマンド／操作：段階apply / ロールバック：直前Attachmentへ戻す
170	17_構築手順	16	Network		共有Network/RAM等作成	共有・経路正常					共有・経路正常	未着手		Root Module／手段：40-network / 前提条件：Network Account準備 / 実行Account：Network / コマンド／操作：terraform apply / ロールバック：Route/RAM復旧
171	17_構築手順	17	受入		総合テスト実施	必須試験Pass					必須試験Pass	未着手		Root Module／手段：18_テスト / 前提条件：全構築完了 / 実行Account：各担当 / コマンド／操作：試験手順 / ロールバック：不具合修正
172	17_構築手順	18	実績反映		ID/ARN/Version/差分を更新	設計と実環境一致					設計と実環境一致	未着手		Root Module／手段：設計書/Git / 前提条件：Step17完了 / 実行Account：Platform / コマンド／操作：PR/レビュー / ロールバック：差分修正
173	18_テスト	ORG-N-001	Organizations	OU/Account	OU・Account一覧を取得	設計書と名称・所属が一致					設計書と名称・所属が一致	未着手		前提条件：Organization構築済み / 正常／異常：正常 / 優先度：High / 担当：Platform
174	18_テスト	ORG-A-001	SCP	DenyLeaveOrganization	LeaveOrganizationを実行	AccessDenied					AccessDenied	未着手		前提条件：Test Account所属 / 正常／異常：異常 / 優先度：Critical / 担当：Platform
175	18_テスト	ORG-A-002	SCP	RestrictRegions	許可外RegionでEC2作成	AccessDenied					AccessDenied	未着手		前提条件：SCP適用済み / 正常／異常：異常 / 優先度：Critical / 担当：Platform
176	18_テスト	ORG-A-003	SCP	Global Service例外	IAM/Organizations必要操作を実施	設計上必要な操作は成功					設計上必要な操作は成功	未着手		前提条件：RestrictRegions適用済み / 正常／異常：正常 / 優先度：Critical / 担当：Platform
177	18_テスト	IAM-N-001	Identity Center	ReadOnly	対象Accountへログインし参照	参照成功					参照成功	未着手		前提条件：User割当済み / 正常／異常：正常 / 優先度：High / 担当：Platform
178	18_テスト	IAM-A-001	Identity Center	ReadOnly	Resource変更を実施	AccessDenied					AccessDenied	未着手		前提条件：User割当済み / 正常／異常：異常 / 優先度：High / 担当：Security
179	18_テスト	IAM-A-002	BreakGlass	緊急Role	AssumeRoleし復旧操作	必要操作成功し即時通知					必要操作成功し即時通知	未着手		前提条件：承認・MFA準備 / 正常／異常：正常 / 優先度：Critical / 担当：Security
180	18_テスト	LOG-N-001	CloudTrail	Organization Trail	各AccountでAPI操作	Log Archive S3へ出力					Log Archive S3へ出力	未着手		前提条件：Trail有効 / 正常／異常：正常 / 優先度：Critical / 担当：Security
181	18_テスト	LOG-A-001	CloudTrail	Trail保護	一般管理者でStopLogging	AccessDenied					AccessDenied	未着手		前提条件：SCP適用済み / 正常／異常：異常 / 優先度：Critical / 担当：Security
182	18_テスト	LOG-N-002	KMS	CloudTrail暗号化	S3 Object暗号化情報を確認	指定KMS Keyで暗号化					指定KMS Keyで暗号化	未着手		前提条件：Trail出力済み / 正常／異常：正常 / 優先度：High / 担当：Security
183	18_テスト	LOG-A-002	KMS	ログ復号制御	ログObjectを取得	Decrypt不可					Decrypt不可	未着手		前提条件：一般Userでアクセス / 正常／異常：異常 / 優先度：High / 担当：Security
184	18_テスト	CFG-N-001	Config	Recorder	Resourceを作成・変更	Configに記録					Configに記録	未着手		前提条件：Baseline展開済み / 正常／異常：正常 / 優先度：High / 担当：Security
185	18_テスト	CFG-N-002	Config	Aggregator	Security Accountで集約表示	全対象Account/Region表示					全対象Account/Region表示	未着手		前提条件：全Account Recorder有効 / 正常／異常：正常 / 優先度：High / 担当：Security
186	18_テスト	SEC-N-001	GuardDuty	Organization Member	Member一覧を確認	全対象AccountがEnabled					全対象AccountがEnabled	未着手		前提条件：自動有効化済み / 正常／異常：正常 / 優先度：High / 担当：Security
187	18_テスト	SEC-A-001	Security Service	無効化防止	一般管理者でDetector削除	AccessDenied					AccessDenied	未着手		前提条件：SCP適用済み / 正常／異常：異常 / 優先度：Critical / 担当：Security
188	18_テスト	SS-N-001	StackSets	Auto Deployment	StackSet展開を待ち確認	Baseline Stack成功					Baseline Stack成功	未着手		前提条件：対象OUへ新Account追加 / 正常／異常：正常 / 優先度：High / 担当：Platform
189	18_テスト	TF-N-001	Terraform	Remote State	plan/apply実行	S3 State更新・Lock作成					S3 State更新・Lock作成	未着手		前提条件：Backend設定済み / 正常／異常：正常 / 優先度：Critical / 担当：Platform
190	18_テスト	TF-A-001	Terraform	State Lock	同一Stateへapply	Lock Errorで停止					Lock Errorで停止	未着手		前提条件：別ProcessでLock保持 / 正常／異常：異常 / 優先度：High / 担当：Platform
191	18_テスト	TF-A-002	Terraform	prevent_destroy	destroy planを実行	Lifecycle errorで停止					Lifecycle errorで停止	未着手		前提条件：保護Resourceをtarget / 正常／異常：異常 / 優先度：Critical / 担当：Platform
192	18_テスト	LIFE-N-001	Account Lifecycle	Quarantine→Prod移動	AccountをProd OUへ移動	Prod SCP/Baselineが有効					Prod SCP/Baselineが有効	未着手		前提条件：受入完了 / 正常／異常：正常 / 優先度：High / 担当：Platform
193	19_リソース対応表	1		Organization					organizations	aws_organizations_organization		確定		主な引数：feature_set, enabled_policy_types / 主なOutput／実績値：id, roots / Import ID例：o-xxxxxxxxxx / 注意事項：既存Organizationはimport
194	19_リソース対応表	2		OU					organizations	aws_organizations_organizational_unit		確定		主な引数：name, parent_id / 主なOutput／実績値：id, arn / Import ID例：ou-xxxx-xxxxxxxx / 注意事項：階層変更の影響を確認
195	19_リソース対応表	3		Member Account					organizations	aws_organizations_account		確定		主な引数：name, email, parent_id, role_name, close_on_deletion / 主なOutput／実績値：id, arn / Import ID例：123456789012 / 注意事項：prevent_destroy必須を推奨
196	19_リソース対応表	4		Organizations Policy					organizations	aws_organizations_policy		確定		主な引数：name, type, content / 主なOutput／実績値：id, arn / Import ID例：p-xxxxxxxx / 注意事項：JSONは別ファイル管理
197	19_リソース対応表	5		Policy Attachment					organizations	aws_organizations_policy_attachment		確定		主な引数：policy_id, target_id / 主なOutput／実績値：- / Import ID例：<target-id>:<policy-id> / 注意事項：段階適用・ロールバック設計
198	19_リソース対応表	6		Delegated Administrator					org-services	aws_organizations_delegated_administrator		検討中		主な引数：account_id, service_principal / 主なOutput／実績値：- / Import ID例：<account-id>/<service-principal> / 注意事項：サービス固有API推奨の場合あり
199	19_リソース対応表	7		Trusted Access					org-services	aws_organizations_aws_service_access またはサービス固有設定		検討中		主な引数：service_principal / 主なOutput／実績値：- / Import ID例：service principal / 注意事項：各サービスの公式手順を優先
200	19_リソース対応表	8		CloudFormation StackSet					account-baseline	aws_cloudformation_stack_set		確定		主な引数：permission_model, call_as, auto_deployment, template_body / 主なOutput／実績値：id / Import ID例：StackSet name / 注意事項：SERVICE_MANAGED前提を確認
201	19_リソース対応表	9		Stack Instances					account-baseline	aws_cloudformation_stack_instances		確定		主な引数：deployment_targets, regions, operation_preferences / 主なOutput／実績値：- / Import ID例：StackSet/target / 注意事項：OU移動・削除時のretain設計
202	19_リソース対応表	10		S3 Backend					各State	terraform backend s3		確定		主な引数：bucket, key, region, encrypt, kms_key_id, use_lockfile / 主なOutput／実績値：- / Import ID例：- / 注意事項：認証情報を直書きしない
203	19_リソース対応表	11		S3 State Bucket					bootstrap	aws_s3_bucket等		確定		主な引数：bucket, versioning, encryption, public access block / 主なOutput／実績値：arn / Import ID例：bucket name / 注意事項：State自身とは別State
204	19_リソース対応表	12		KMS Key					bootstrap/logging	aws_kms_key		検討中		主な引数：policy, rotation, deletion window / 主なOutput／実績値：arn, key_id / Import ID例：key-id / 注意事項：Key Policyでロックアウト防止
205	19_リソース対応表	13		Organization Trail					org-services	aws_cloudtrail		確定		主な引数：is_organization_trail, s3_bucket_name, kms_key_id / 主なOutput／実績値：arn / Import ID例：trail name / 注意事項：Bucket/Key Policy前提
206	19_リソース対応表	14		Config Aggregator					org-services	aws_config_configuration_aggregator		検討中		主な引数：organization_aggregation_source / 主なOutput／実績値：arn / Import ID例：name / 注意事項：Delegated Admin/Role前提
207	19_リソース対応表	15		Provider Alias					各Root Module	provider aws { alias / assume_role }		確定		主な引数：region, allowed_account_ids, role_arn / 主なOutput／実績値：- / Import ID例：- / 注意事項：新Account作成と同一applyに依存させない
208	20_参照URL	1			HashiCorp S3 Backend		use_lockfile、Versioning、認証情報の注意							トピック：Terraform Backend / URL：https://developer.hashicorp.com/terraform/language/backend/s3 / 確認日：2026-08-03
209	20_参照URL	2			Terraform Provider Requirements		required_providersとlock file							トピック：Provider Version / URL：https://developer.hashicorp.com/terraform/language/providers/requirements / 確認日：2026-08-03
210	20_参照URL	3			aws_organizations_organization		Organization管理・import							トピック：Organization / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/organizations_organization / 確認日：2026-08-03
211	20_参照URL	4			aws_organizations_organizational_unit		OU作成・import							トピック：OU / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/organizations_organizational_unit / 確認日：2026-08-03
212	20_参照URL	5			aws_organizations_account		Account作成・削除時挙動							トピック：Account / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/organizations_account / 確認日：2026-08-03
213	20_参照URL	6			aws_organizations_policy		SCP/Tag/Backup/RCP等							トピック：Policy / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/organizations_policy / 確認日：2026-08-03
214	20_参照URL	7			aws_organizations_policy_attachment		Root/OU/AccountへのAttach							トピック：Policy Attachment / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/organizations_policy_attachment / 確認日：2026-08-03
215	20_参照URL	8			aws_organizations_delegated_administrator		委任管理Account登録							トピック：Delegated Admin / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/organizations_delegated_administrator / 確認日：2026-08-03
216	20_参照URL	9			aws_cloudformation_stack_set		StackSet定義							トピック：StackSet / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/cloudformation_stack_set / 確認日：2026-08-03
217	20_参照URL	10			aws_cloudformation_stack_instances		OU/Regionへの展開							トピック：Stack Instances / URL：https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/cloudformation_stack_instances / 確認日：2026-08-03
218	20_参照URL	11			AWS Organizations User Guide		組織設計全般							トピック：Organizations / URL：https://docs.aws.amazon.com/organizations/latest/userguide/orgs_introduction.html / 確認日：2026-08-03
219	20_参照URL	12			AWS SCP Best Practices		権限境界・検証							トピック：SCP / URL：https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html / 確認日：2026-08-03
220	20_参照URL	13			AWS StackSets with Organizations		OU単位配布							トピック：StackSets / URL：https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/stacksets-orgs-associate-stackset-with-org.html / 確認日：2026-08-03
