No.	大分類	中分類	設計項目	設定値（記入欄）	設計内容・記入基準	対象／適用範囲	確認方法	重要度	確認状況	備考
169	10. セキュリティサービス設計	GuardDuty	S3 Protection		GuardDutyのS3 Protectionに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
170	10. セキュリティサービス設計	GuardDuty	EKS Protection		GuardDutyのEKS Protectionに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
171	10. セキュリティサービス設計	GuardDuty	Runtime Monitoring		GuardDutyのRuntime Monitoringに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
172	10. セキュリティサービス設計	GuardDuty	Malware Protection		GuardDutyのMalware Protectionに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
173	10. セキュリティサービス設計	GuardDuty	RDS Protection		GuardDutyのRDS Protectionに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
174	10. セキュリティサービス設計	GuardDuty	Lambda Protection		GuardDutyのLambda Protectionに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
175	10. セキュリティサービス設計	GuardDuty	Trusted IP List		GuardDutyのTrusted IP Listに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
176	10. セキュリティサービス設計	GuardDuty	Threat IP List		GuardDutyのThreat IP Listに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
177	10. セキュリティサービス設計	GuardDuty	Suppression Rule		GuardDutyのSuppression Ruleに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
178	10. セキュリティサービス設計	GuardDuty	Finding出力先		GuardDutyのFinding出力先に関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
179	10. セキュリティサービス設計	Inspector	対象リージョン		Inspectorの対象リージョンに関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
180	10. セキュリティサービス設計	Inspector	EC2 Scan		InspectorのEC2 Scanに関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
181	10. セキュリティサービス設計	Inspector	ECR Scan		InspectorのECR Scanに関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
182	10. セキュリティサービス設計	Inspector	Lambda Scan		InspectorのLambda Scanに関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
183	10. セキュリティサービス設計	Inspector	Lambda Code Scan		InspectorのLambda Code Scanに関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
184	10. セキュリティサービス設計	Inspector	自動有効化		Inspectorの自動有効化に関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
185	10. セキュリティサービス設計	Inspector	Finding通知先		InspectorのFinding通知先に関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
186	10. セキュリティサービス設計	Inspector	除外条件		Inspectorの除外条件に関する採用値・対象・運用条件を記入する。	Inspector	管理画面・Finding・通知試験	必須	未確認	
187	10. セキュリティサービス設計	Macie	利用有無		Macieの利用有無に関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
188	10. セキュリティサービス設計	Macie	対象リージョン		Macieの対象リージョンに関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
189	10. セキュリティサービス設計	Macie	対象S3 Bucket		Macieの対象S3 Bucketに関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
190	10. セキュリティサービス設計	Macie	Classification Job		MacieのClassification Jobに関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
191	10. セキュリティサービス設計	Macie	Discovery頻度		MacieのDiscovery頻度に関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
192	10. セキュリティサービス設計	Macie	Finding通知先		MacieのFinding通知先に関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
193	10. セキュリティサービス設計	Macie	除外条件		Macieの除外条件に関する採用値・対象・運用条件を記入する。	Macie	管理画面・Finding・通知試験	必須	未確認	
194	10. セキュリティサービス設計	IAM Access Analyzer	Analyzer種別		IAM Access AnalyzerのAnalyzer種別に関する採用値・対象・運用条件を記入する。	IAM Access Analyzer	管理画面・Finding・通知試験	必須	未確認	
195	10. セキュリティサービス設計	IAM Access Analyzer	Zone of Trust		IAM Access AnalyzerのZone of Trustに関する採用値・対象・運用条件を記入する。	IAM Access Analyzer	管理画面・Finding・通知試験	必須	未確認	
196	10. セキュリティサービス設計	IAM Access Analyzer	対象リージョン		IAM Access Analyzerの対象リージョンに関する採用値・対象・運用条件を記入する。	IAM Access Analyzer	管理画面・Finding・通知試験	必須	未確認	
197	10. セキュリティサービス設計	IAM Access Analyzer	Archive Rule		IAM Access AnalyzerのArchive Ruleに関する採用値・対象・運用条件を記入する。	IAM Access Analyzer	管理画面・Finding・通知試験	必須	未確認	
198	10. セキュリティサービス設計	IAM Access Analyzer	Finding通知先		IAM Access AnalyzerのFinding通知先に関する採用値・対象・運用条件を記入する。	IAM Access Analyzer	管理画面・Finding・通知試験	必須	未確認	
199	10. セキュリティサービス設計	IAM Access Analyzer	レビュー頻度		IAM Access Analyzerのレビュー頻度に関する採用値・対象・運用条件を記入する。	IAM Access Analyzer	管理画面・Finding・通知試験	必須	未確認	
200	11. 集中ログS3・KMS設計	S3／KMS	ログBucket名		集中ログ用S3 Bucket名を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
201	11. 集中ログS3・KMS設計	S3／KMS	配置アカウント		Log Archive等の配置先アカウントを記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
202	11. 集中ログS3・KMS設計	S3／KMS	配置リージョン		Bucketを作成するリージョンを記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
203	11. 集中ログS3・KMS設計	S3／KMS	Versioning		Versioningの有効・無効を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
204	11. 集中ログS3・KMS設計	S3／KMS	Public Access Block		各Public Access Block設定値を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
205	11. 集中ログS3・KMS設計	S3／KMS	TLS強制		非TLS通信を拒否するか記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
206	11. 集中ログS3・KMS設計	S3／KMS	書込Principal		CloudTrail、Config等の書込主体を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
207	11. 集中ログS3・KMS設計	S3／KMS	Source条件		SourceArn、SourceAccount、PrincipalOrgID等の条件を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
208	11. 集中ログS3・KMS設計	S3／KMS	読取Principal		ログ閲覧が可能なRoleを記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
209	11. 集中ログS3・KMS設計	S3／KMS	削除Principal		ログ削除が可能な管理主体を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
210	11. 集中ログS3・KMS設計	S3／KMS	Lifecycle		移行先ストレージクラスと削除時期を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
211	11. 集中ログS3・KMS設計	S3／KMS	KMS Key Alias		ログ暗号化に使用するKey Aliasを記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
212	11. 集中ログS3・KMS設計	S3／KMS	Key Administrator		KMS Key管理者を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
213	11. 集中ログS3・KMS設計	S3／KMS	Key User		Encrypt／Decrypt利用者を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
214	11. 集中ログS3・KMS設計	S3／KMS	Key Rotation		自動ローテーションの有無を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
215	11. 集中ログS3・KMS設計	S3／KMS	削除待機期間		KMS Key削除待機日数を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
216	11. 集中ログS3・KMS設計	S3／KMS	暗号化Context条件		サービス書込時のEncryption Context条件を記入する。	Log Archive／Security関連アカウント	Bucket Policy・Key Policy・実ログで確認	必須	未確認	
217	12. 共有サービス・責任分界	Network／Shared Services	Network管理アカウント		共有Network Resourceを保有するアカウントを記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
218	12. 共有サービス・責任分界	Network／Shared Services	Shared Servicesアカウント		共通サービスを保有するアカウントを記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
219	12. 共有サービス・責任分界	Network／Shared Services	Transit Gateway所有者		TGWの所有アカウントと管理責任者を記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
220	12. 共有サービス・責任分界	Network／Shared Services	AWS RAM共有範囲		共有対象をOrganization、OU、Account単位で記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
221	12. 共有サービス・責任分界	Network／Shared Services	Route 53 Resolver所有者		Resolver Endpoint／Ruleの所有アカウントを記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
222	12. 共有サービス・責任分界	Network／Shared Services	Private Hosted Zone共有		共有先VPC・アカウント・承認方法を記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
223	12. 共有サービス・責任分界	Network／Shared Services	IPAM管理		IPAM管理アカウント、Scope、Poolを記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
224	12. 共有サービス・責任分界	Network／Shared Services	Firewall管理		Network Firewall、Firewall Manager等の管理責任を記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
225	12. 共有サービス・責任分界	Network／Shared Services	共有解除条件		OU移動・アカウント停止時の共有解除条件を記入する。	関連アカウント	Resource所有者・共有状態・疎通を確認	必須	未確認	
226	13. コスト管理設計	請求・予算・異常検知	Consolidated Billing		一括請求の管理方針を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
227	13. コスト管理設計	請求・予算・異常検知	Cost Allocation Tag		費用配賦に使用するTag Keyを記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
228	13. コスト管理設計	請求・予算・異常検知	Cost Category		費用分類ルールを記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
229	13. コスト管理設計	請求・予算・異常検知	Budget管理単位		アカウント、システム、環境等の管理単位を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
230	13. コスト管理設計	請求・予算・異常検知	Budget閾値		通知する金額または割合を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
231	13. コスト管理設計	請求・予算・異常検知	Budget通知先		通知先メール、SNS等を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
232	13. コスト管理設計	請求・予算・異常検知	Cost Anomaly Monitor		監視単位と対象を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
233	13. コスト管理設計	請求・予算・異常検知	異常費用閾値		異常検知の閾値を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
234	13. コスト管理設計	請求・予算・異常検知	Savings Plans／RI管理者		購入・配賦・見直しの責任者を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
235	13. コスト管理設計	請求・予算・異常検知	費用レビュー頻度		日次、週次、月次等のレビュー頻度を記入する。	Organization全体／アカウントごと	Billing／Cost Management画面で確認	必須	未確認	
236	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	アカウント申請項目		申請時に必要なシステム、Owner、環境、予算、データ区分等を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
237	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	承認者		作成・変更・停止・閉鎖の承認者を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
238	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	初期配置OU		新規アカウントを最初に配置するOUを記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
239	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	初期セキュリティ設定		引渡し前に必須とする設定を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
240	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	初期アクセス設定		Identity Centerの初期割当を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
241	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	初期ログ設定		CloudTrail、Config、Securityサービス加入条件を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
242	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	受入条件		本来のOUへ移動するための完了条件を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
243	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	OU移動手順		移動前確認、実施者、移動後確認を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
244	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	停止手順		アクセス停止、DenyAll、データ保持等を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
245	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	閉鎖前確認		請求、契約、データ、ログ、バックアップの確認内容を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
246	14. アカウントライフサイクル設計	申請・作成・移動・停止・閉鎖	閉鎖後保管		設計書、証跡、ログ、台帳の保管期間を記入する。	全メンバーアカウント	申請票・台帳・操作証跡で確認	必須	未確認	
247	15. 監視・運用設計	Organizations／Security Event	CreateAccount		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
248	15. 監視・運用設計	Organizations／Security Event	CloseAccount		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
249	15. 監視・運用設計	Organizations／Security Event	MoveAccount		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
250	15. 監視・運用設計	Organizations／Security Event	InviteAccountToOrganization		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
251	15. 監視・運用設計	Organizations／Security Event	LeaveOrganization		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
252	15. 監視・運用設計	Organizations／Security Event	AttachPolicy		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
253	15. 監視・運用設計	Organizations／Security Event	DetachPolicy		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
254	15. 監視・運用設計	Organizations／Security Event	UpdatePolicy		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
255	15. 監視・運用設計	Organizations／Security Event	EnableAWSServiceAccess		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
256	15. 監視・運用設計	Organizations／Security Event	DisableAWSServiceAccess		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
257	15. 監視・運用設計	Organizations／Security Event	RegisterDelegatedAdministrator		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
258	15. 監視・運用設計	Organizations／Security Event	DeregisterDelegatedAdministrator		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
259	15. 監視・運用設計	Organizations／Security Event	Root Login		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
260	15. 監視・運用設計	Organizations／Security Event	CloudTrail停止／削除		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
261	15. 監視・運用設計	Organizations／Security Event	Config Recorder停止		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
262	15. 監視・運用設計	Organizations／Security Event	Securityサービス無効化		検知方法、Severity、通知先、一次対応者、目標対応時間、Runbook番号を記入する。	Organization全体	テストイベントまたはCloudTrail Eventで通知確認	必須	未確認	
263	15. 監視・運用設計	運用手順	SCP変更手順		申請、レビュー、試験、段階適用、ロールバック手順を記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
264	15. 監視・運用設計	運用手順	OU変更手順		OU作成、名称変更、階層変更、削除の手順を記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
265	15. 監視・運用設計	運用手順	Delegated Admin変更手順		委任先変更時の影響確認と切替手順を記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
266	15. 監視・運用設計	運用手順	リージョン追加手順		新規リージョン許可前のセキュリティ・ログ準備を記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
267	15. 監視・運用設計	運用手順	新規サービス利用申請		利用可否判断、SCP影響、ログ・費用・セキュリティ確認を記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
268	15. 監視・運用設計	運用手順	緊急アクセス手順		承認、利用、監視、終了、事後レビューを記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
269	15. 監視・運用設計	運用手順	定期レビュー		OU、Account、SCP、権限、連絡先、費用のレビュー頻度を記入する。	Organization全体	Runbookレビュー・訓練結果で確認	必須	未確認	
270	16. 構築手順	Step 01	Organization機能確認		Organizationと機能セットを確認する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
271	16. 構築手順	Step 02	OU作成		設計した階層順にOUを作成する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
272	16. 構築手順	Step 03	基盤アカウント作成		Security、Log Archive、Network等を作成する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
273	16. 構築手順	Step 04	Root保護		Root MFA、メール、緊急アクセスを設定する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
274	16. 構築手順	Step 05	Identity Center設定		Identity Source、Permission Set、割当を設定する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
275	16. 構築手順	Step 06	Trusted Access有効化		必要サービスの組織連携を有効化する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
276	16. 構築手順	Step 07	Delegated Administrator登録		各サービスの委任管理先を登録する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
277	16. 構築手順	Step 08	集中ログ作成		S3、KMS、Organization Trailを設定する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
278	16. 構築手順	Step 09	AWS Config設定		Recorder、Aggregator、Ruleを設定する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
279	16. 構築手順	Step 10	セキュリティサービス設定		Security Hub、GuardDuty、Inspector等を設定する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
280	16. 構築手順	Step 11	Tag／Backup Policy設定		組織ポリシーを作成・適用する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
281	16. 構築手順	Step 12	SCP単体試験		テストアカウントで許可／拒否／例外を試験する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
282	16. 構築手順	Step 13	SCP段階適用		影響の低いOUから順に適用する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
283	16. 構築手順	Step 14	新規アカウント受入試験		ログ、権限、セキュリティ、費用通知を確認する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
284	16. 構築手順	Step 15	実績値反映		ID、ARN、メール、ポリシー適用結果を設計書へ反映する。	Organization全体	実施証跡・画面・ログで確認	必須	未確認	
285	17. テスト設計	受入試験	OU構成		OU階層、名称、親子関係が設計通りであること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
286	17. テスト設計	受入試験	アカウント所属		各アカウントが設計したOUへ所属していること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
287	17. テスト設計	受入試験	許可リージョン		許可リージョンで必要な操作が成功すること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
288	17. テスト設計	受入試験	禁止リージョン		禁止リージョンで対象操作が拒否されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
289	17. テスト設計	受入試験	Organization離脱防止		メンバーアカウントからOrganizationを離脱できないこと。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
290	17. テスト設計	受入試験	アカウント閉鎖防止		未承認主体からアカウントを閉鎖できないこと。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
291	17. テスト設計	受入試験	Securityサービス保護		一般管理者がCloudTrailやGuardDuty等を無効化できないこと。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
292	17. テスト設計	受入試験	Root利用検知		Rootログイン時に所定の通知が行われること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
293	17. テスト設計	受入試験	Identity Centerログイン		対象Groupが指定アカウントへログインできること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
294	17. テスト設計	受入試験	ReadOnly拒否		参照権限利用者が変更操作を実行できないこと。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
295	17. テスト設計	受入試験	本番管理権限		本番管理者が許可された操作のみ実行できること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
296	17. テスト設計	受入試験	緊急アクセス		承認済み緊急Roleで復旧操作ができ、通知されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
297	17. テスト設計	受入試験	CloudTrail出力		全対象アカウントのイベントが集中S3へ出力されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
298	17. テスト設計	受入試験	CloudTrail暗号化		ログが指定方式で暗号化されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
299	17. テスト設計	受入試験	ログ読取制御		未許可主体が集中ログを参照できないこと。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
300	17. テスト設計	受入試験	ログ削除制御		一般管理者がログを削除できないこと。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
301	17. テスト設計	受入試験	Config記録		対象Resourceの変更がConfigへ記録されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
302	17. テスト設計	受入試験	Config集約		対象アカウント・リージョンの情報がAggregatorへ集約されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
303	17. テスト設計	受入試験	Security Hub集約		対象アカウントのFindingが集約されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
304	17. テスト設計	受入試験	GuardDuty自動加入		新規アカウントが自動的にGuardDutyへ加入すること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
305	17. テスト設計	受入試験	Inspector自動加入		新規アカウントが自動的にInspectorへ加入すること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
306	17. テスト設計	受入試験	Budget通知		設定閾値到達時に所定の通知先へ通知されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
307	17. テスト設計	受入試験	OU移動		OU移動後に有効ポリシーが設計通り切り替わること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
308	17. テスト設計	受入試験	Suspended OU		停止アカウントで業務操作が拒否されること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
309	17. テスト設計	受入試験	ロールバック		誤ったSCP適用時に定義した手順で復旧できること。	対象Organization／Account	画面、CLI結果、CloudTrail、通知証跡	必須	未確認	
